# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	0.5718
1,	2.5720
1,	4.5736
1,	6.5744
1,	8.5750
2,	10.5764
1,	12.5770
1,	14.5778
1,	16.5788
1,	18.5794
1,	20.5800
1,	22.5810
1,	24.5822
1,	26.5828
1,	28.5838
1,	30.5844
1,	32.5854
1,	34.5864
1,	36.5870
1,	38.5882
1,	40.5892
1,	42.5898
1,	44.5910
1,	46.5910
1,	48.5926
1,	50.5932
1,	52.5948
1,	54.5956
1,	56.5960
1,	58.5974
1,	60.5980
1,	62.5990
1,	64.5994
1,	66.6002
1,	68.6016
1,	70.6020
1,	72.6032
1,	74.6040
1,	76.6044
1,	78.6056
1,	80.6064
1,	82.6072
1,	84.6080
1,	86.6090
1,	88.6098
1,	90.6110
1,	92.6124
1,	94.6130
1,	96.6134
2,	98.6144
1,	100.6152
1,	102.6164
1,	104.6174
1,	106.6182
2,	108.6190
1,	110.6200
1,	112.6208
1,	114.6218
2,	116.6224
1,	118.6232
1,	120.6240
