# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	1.9758
1,	3.9764
1,	5.9778
1,	7.9782
1,	9.9796
1,	11.9808
1,	13.9816
1,	15.9818
1,	17.9828
1,	19.9842
1,	21.9846
1,	23.9852
1,	25.9870
1,	27.9872
1,	29.9882
1,	31.9892
1,	33.9904
2,	35.9912
1,	37.9916
1,	39.9924
1,	41.9934
1,	43.9944
1,	45.9954
2,	47.9958
1,	49.9970
1,	51.9978
1,	53.9988
1,	55.9994
1,	58.0004
1,	60.0012
1,	62.0020
1,	64.0032
1,	66.0040
1,	68.0046
1,	70.0056
2,	72.0064
1,	74.0072
1,	76.0082
1,	78.0090
1,	80.0100
1,	82.0112
1,	84.0116
1,	86.0126
2,	88.0138
1,	90.0142
1,	92.0150
1,	94.0164
2,	96.0168
1,	98.0176
1,	100.0188
1,	102.0198
1,	104.0204
1,	106.0214
1,	108.0222
1,	110.0230
1,	112.0238
1,	114.0246
1,	116.0256
1,	118.0264
1,	120.0274
1,	122.0284
1,	124.0290
1,	126.0300
1,	128.0308
1,	130.0318
1,	132.0328
1,	134.0334
1,	136.0348
1,	138.0354
1,	140.0362
1,	142.0374
1,	144.0378
2,	146.0388
1,	148.0400
1,	150.0406
1,	152.0414
2,	154.0424
1,	156.0434
1,	158.0440
1,	160.0448
1,	162.0458
1,	164.0466
1,	166.0476
1,	168.0484
1,	170.0492
1,	172.0502
1,	174.0510
1,	176.0518
1,	178.0526
1,	180.0538
1,	182.0550
1,	184.0556
1,	186.0562
1,	188.0574
1,	190.0580
1,	192.0592
1,	194.0598
1,	196.0606
1,	198.0618
1,	200.0624
1,	202.0634
1,	204.0642
2,	206.0650
1,	208.0658
1,	210.0666
1,	212.0676
2,	214.0686
1,	216.0700
1,	218.0700
1,	220.0712
1,	222.0720
1,	224.0728
1,	226.0736
1,	228.0746
2,	230.0758
1,	232.0768
1,	234.0772
1,	236.0782
1,	238.0790
1,	240.0800
1,	242.0812
1,	244.0816
1,	246.0828
1,	248.0840
1,	250.0842
1,	252.0850
1,	254.0860
1,	256.0870
1,	258.0876
2,	260.0886
1,	262.0894
1,	264.0904
1,	266.0912
1,	268.0922
1,	270.0928
2,	272.0942
1,	274.0946
1,	276.0956
1,	278.0964
1,	280.0974
1,	282.0982
1,	284.0990
1,	286.1000
1,	288.1008
1,	290.1020
2,	292.1032
1,	294.1036
1,	296.1042
1,	298.1054
1,	300.1062
1,	302.1068
1,	304.1078
1,	306.1092
