# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	0.7740
1,	2.7748
1,	4.7758
1,	6.7766
1,	8.7774
1,	10.7780
1,	12.7798
2,	14.7802
1,	16.7810
1,	18.7820
1,	20.7826
1,	22.7834
1,	24.7846
1,	26.7854
2,	28.7862
1,	30.7872
1,	32.7880
1,	34.7890
1,	36.7896
1,	38.7906
1,	40.7910
1,	42.7922
2,	44.7932
1,	46.7940
1,	48.7946
1,	50.7958
1,	52.7966
1,	54.7972
1,	56.7980
2,	58.7998
1,	60.7998
1,	62.8010
1,	64.8020
1,	66.8030
1,	68.8036
1,	70.8042
1,	72.8056
1,	74.8062
1,	76.8074
1,	78.8076
1,	80.8090
1,	82.8094
1,	84.8108
1,	86.8116
1,	88.8124
1,	90.8132
1,	92.8144
1,	94.8148
1,	96.8162
1,	98.8168
1,	100.8176
2,	102.8188
1,	104.8194
1,	106.8202
1,	108.8212
1,	110.8220
1,	112.8228
1,	114.8240
1,	116.8244
1,	118.8256
2,	120.8266
1,	122.8272
1,	124.8280
1,	126.8288
1,	128.8298
1,	130.8306
1,	132.8318
1,	134.8332
1,	136.8334
2,	138.8338
1,	140.8352
1,	142.8362
1,	144.8368
1,	146.8378
1,	148.8390
1,	150.8398
1,	152.8400
1,	154.8414
1,	156.8420
2,	158.8426
1,	160.8440
1,	162.8448
1,	164.8462
2,	166.8462
1,	168.8472
1,	170.8484
1,	172.8492
1,	174.8500
1,	176.8510
1,	178.8516
2,	180.8526
1,	182.8534
1,	184.8544
1,	186.8556
1,	188.8562
1,	190.8570
2,	192.8576
1,	194.8586
1,	196.8598
