# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	1.8648
1,	3.8658
1,	5.8664
1,	7.8674
1,	9.8684
1,	11.8690
1,	13.8704
1,	15.8712
2,	17.8720
1,	19.8726
1,	21.8736
1,	23.8748
1,	25.8754
1,	27.8760
2,	29.8776
1,	31.8780
1,	33.8796
1,	35.8798
2,	37.8806
1,	39.8818
1,	41.8826
1,	43.8830
1,	45.8842
1,	47.8850
1,	49.8862
1,	51.8864
1,	53.8876
1,	55.8886
1,	57.8896
1,	59.8900
1,	61.8912
1,	63.8920
1,	65.8930
2,	67.8938
1,	69.8946
1,	71.8958
1,	73.8964
1,	75.8972
1,	77.8984
2,	79.8988
1,	81.8998
1,	83.9014
1,	85.9016
1,	87.9028
1,	89.9030
1,	91.9040
1,	93.9052
2,	95.9060
1,	97.9070
1,	99.9078
1,	101.9086
2,	103.9096
1,	105.9110
1,	107.9114
1,	109.9124
2,	111.9130
1,	113.9142
1,	115.9152
1,	117.9154
1,	119.9166
1,	121.9176
1,	123.9182
1,	125.9188
1,	127.9200
1,	129.9206
1,	131.9220
1,	133.9226
1,	135.9234
2,	137.9250
1,	139.9252
1,	141.9258
1,	143.9270
1,	145.9280
1,	147.9286
1,	149.9298
1,	151.9312
1,	153.9316
1,	155.9322
